course_id,course_title
227,Applied Data Science with Python Specialization
228,IBM Data Analyst Professional Certificate
229,Assess for Success: Marketing Analytics and Measurement
230,Data Science Fundamentals with Python and SQL Specialization
231,Introduction to Data Science Specialization
232,IBM Data Science Professional Certificate
233,Google Data Analytics Professional Certificate
234,Google Data Analytics Professional Certificate
235,Data Science: Foundations using R Specialization
236,IBM Data Science Professional Certificate
237,Data Science Specialization
238,Introduction to Physical Chemistry
239,Introduction to Chemistry:  Structures and Solutions
240,Data Science Specialization
241,Introduction to Physical Chemistry
242,Introduction to Chemistry:  Structures and Solutions
